Type;Name;Id;ImageName;Property;Effect;Notes
ItemRebirth;Forget Me Now;127;collectibles_127;pill, purple;*Upon activation this item is consumed and will vanish from Isaac's inventory.*Upon activation the current floor will be completely re-generated.*Isaac will restart the level just as if he had entered a new floor.;*The re-generated floor will count as the same floor number as the one Isaac used Forget Me Now in.*Any items earned prior to using the re-generation effect will still remain in Isaac's inventory.*If used on the Necropolis II or Depths II after beating Mom, you can get both The Negative and The Polaroid in one run. Additionally, two Boss Rushes can be entered as long as the total playtime of the run stays under 20 minutes.*If used on The Chest or Dark Room when the Door to Mega Satan has been opened, the Golden key will not re-open the door and you will be unable to fight him.*If used on an XL floor, the merged chapter will be re-generated as two seperate floors instead.
ItemRebirth;The Gamekid;93;collectibles_093;gameboy, grey;Upon use turns the character into a PacMan-like creature for six seconds and provides the following effects:*Grants invulnerability and increased speed.*Inflicts fear on all enemies.*Removes ability to shoot tears and instead dealing contact damage to enemies.*Replenishes half a red heart for every two enemies killed.;*The invulnerability effect negates all forms of damage, including health loss from Blood Donation Machines and Devil Beggars.*Does not prevent heart container loss from Health Down Pills or Devil Room deals.
ItemRebirth;Gemini;318;collectibles_318;blue;Gives Isaac a conjoined familiar, much like Gemini's small twin, Suture. It attacks only through short-ranged contact damage.;
ItemRebirth;Ghost Baby;163;collectibles_163;ghost, white;Spawns a familiar that follows Isaac around and fires spectral tears that deal 3.5 damage each.;Despite having spectral tears, It's unable to shoot when floating over an obstacle.
ItemRebirth;Gimpy;225;collectibles_225;face, grey;Whenever Isaac takes damage, there is a chance that a Soul Heart or a Black Heart might spawn.*Enemies have a chance to drop half of a red heart after being killed.;Gimpy's Soul Heart drop chance depends on the Luck stat, and goes up to 50% at 22 Luck.
ItemRebirth;Gnawed Leaf;210;collectibles_210;green;*Upon pickup, Isaac gets a small brown ringtail.*After standing still and not pressing the move or attack buttons for one second, Isaac will turn into an invincible statue.*Using bombs and active items will remove the invincibility state as well.;
ItemRebirth;Goat Head;215;collectibles_215;goat head brown;A Devil Room / Angel Room Door will always spawn after every boss fight, excluding the first floor and floors after Utero II/Womb II.;Accepting a deal with the devil will prevent any Angel Rooms from appearing, meaning that Isaac needs to acquire the Goat Head in a Curse Room, Golden Chest, Red Chest or with Credit Card in order to force Angel Rooms to appear.*Even if taken after a boss is killed, Goat Head will force a Devil / Angel Room Door to spawn on that floor. The door will always stay opened.*Goat Head and The Book Of Belial are the only items that will ensure 
ItemRebirth;GodHead;331;collectibles_331;eye;*0.5 Damage.*-0.3 Tears.*+1.2 Range.*-30% Shot Speed.*+0.8 Shot Height.*Grants homing tears.*Tears gain a damaging aura.;
ItemRebirth;Growth Hormones;70;collectibles_070;needle, purple;*+1 Damage*+0.4 Speed;
ItemRebirth;Guardian Angel;112;collectibles_112;angle, wings;Spawns an orbital familiar that blocks enemy projectiles and deals contact damage to *enemies.*Increases the speed of all orbital familiars.;The increased orbital speed improves odds of being protected from enemy projectiles.
ItemRebirth;The Guillotine;206;collectibles_206;knife, silver;*+1.0 Damage up.*-1 Tear delay. As this tears upgrade directly affects tear delay, it allows Isaac's tear rate to go over the maximum rate of fire.*Isaac's head rotates around his body and can be used to inflict damage similar to A Cube of Meat. Blocking tears with Isaac's head does not damage Isaac. His tears still originate from his head, so the line of fire is no longer constant while standing still.;
ItemRebirth;Guppy's Collar;212;collectibles_212;head collar;*Isaac has a permanent 50% chance to resurrect on death.*Resurrection leaves Isaac at half a red heart.*Guppy's Collar takes priority over all other resurrection items when activated.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.;
ItemRebirth;Guppy's Hairball;187;collectibles_187;hair, brown;*Spawns a hair ball that loosely follows behind Isaac and can be swung like a flail, dealing contact damage to enemies and blocking projectiles.*The ball grows bigger by killing enemies, which increases its damage.*The size of the ball resets upon entering a new floor.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.;"The function and flavor text of this item might be a reference to the idioms ""no room to swing a cat"" or ""can't swing a dead cat without hitting...""."
ItemRebirth;Guppy's Head;145;collectibles_145;head, cat;Spawns 2-4 Blue Flies.;*Each blue fly deals double Isaac's damage.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.*In Challenge #8 (Cat Got Your Tongue), Isaac starts with this item.
ItemRebirth;Guppy's Paw;133;collectibles_133;cat, paw;*Converts one Heart Container to three Soul Hearts.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.;
ItemRebirth;Guppy's Tail;134;collectibles_134;cat, tail;*Grants a 1/3 chance of replacing a pickup with a normal chest or gold chest, but also a 1/3 chance to replace it with nothing at all.*This item belongs to the Guppy set. Collecting three items from the set will transform Isaac into Guppy.;In Challenge #8 (Cat Got Your Tongue), you start with this item.
ItemRebirth;Habit;156;collectibles_156;head, black;When Isaac is hit, his active item gains 1 room's worth of charge.;*Book Of Revelations - Reduced damage to some degree due to getting a 6th of a charge every hit.*Yum Heart - With the 9 Volt, Isaac could potentially become invincible on early floors or with The Wafer. Also permits free use of Blood Donation Machine.*Placenta & Book Of Revelations - If the player is patient enough, they can be used to generate the maximum amount of spirit hearts without losing anything.
ItemRebirth;The Halo;101;collectibles_101;head, gold;*+1 Heart Container*+0.3 Damage*+0.2 Tears*+0.25 Range*+0.3 Speed*+0.5 Tear Height;
ItemRebirth;Halo of Flies;10;collectibles_010;fly;*Spawns two pretty fly familiars that block enemy shots.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;Orbital flies can also be obtained by other means, such as Slot Machines and Pretty Fly pills.
ItemRebirth;Harlequin Baby;167;collectibles_167;baby fly;Spawns a familiar that follows Isaac around and fires two tears at once in a V-pattern which deal 4 damage each;
ItemRebirth;Head of Krampus;293;collectibles_293;dog;Fires a powerful Brimstone beam in four cardinal directions.*Has a chance to rotate all beams around the player 90 degrees, similar to Krampus's second Brimstone attack.;The power of the beams can One-Hit Kill Mom's Heart/It Lives if the item is used very close to the *boss.*Damaging enemies with the effect of this item as Guppy will spawn multiple Blue Flies.
ItemRebirth;Headless Baby;269;collectibles_269;corpse, blood;Spawns a familiar that follows Isaac around, leaving a trail of red creep that damages enemies.;
ItemRebirth;Hive Mind;248;collectibles_248;fly, blue;*Increases the size of blue spiders and blue flies.*Doubles the damage dealt by blue spiders and blue flies.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
ItemRebirth;Holy Grail;184;collectibles_184;gold;Grants flight and one heart container.;
ItemRebirth;Holy Mantle;313;collectibles_313;cross, blue;*Protects Isaac from damage by blocking one hit.*Shield effect recharges the next room.;*Holy Mantle won't be active when initially spawning on a floor in the spawn room. For example: the damage caused by walking into a Curse Room adjacent to spawn is not negated. Walking into another room and coming back to spawn resets the Holy Mantle and allows to safely enter said Curse Room.*As the shield gets restored whenever another room is entered, Isaac can enter and leave Curse Rooms without taking damage.*Unlike every other protective effect like shield or invulnerability, Holy Mantle does not prevent damage from Blood Donation Machines, Devil Beggars and Blood Rights. This is probably done to avoid exploiting them, given the infinitely rechargeable effect of the Holy Mantle.*Damage from Sacrifice Room spikes can be blocked by Holy Mantle, but a chest will not spawn unless Isaac actually takes damage.*Bad Trip will not damage the player when protected by Holy Mantle*The blocked hit does not count as damage taken for related achievements and will not trigger items that activate upon taking damage like Dead Bird.
ItemRebirth;Holy Water;178;collectibles_178;cross, blue;*Spawns a familiar that follows Isaac. If Isaac takes damage, it will shatter and create a blue pool of damaging water similar to the usable item Lemon Mishap.*After breaking, Holy Water will reappear in the next room.;
ItemRebirth;Hot Bombs;256;collectibles_256;bomb, fire;*Isaac gains +5 bombs on pickup.*Placed bombs will leave behind fire that damages enemies on contact before disappearing.*Fire from a Hot Bomb doesn't damage Isaac.;
ItemRebirth;The Hourglass;66;collectibles_066;timeglass;All enemies in the room are slowed for approximately 8 seconds.;
ItemRebirth;How To Jump;282;collectibles_282;book, mario, jump;*Upon use, Isaac jumps in the direction he is currently moving. The distance of the jump depends on how fast Isaac was moving when the item was activated. Jumping allows Isaac to travel over obstacles such as rocks, pits, and spikes.*While mid-jump, enemies, enemy shots, bombs, and spikes cannot damage Isaac. Isaac cannot interact with pickups or chests mid-jump.;*If Isaac has flight, Isaac dashes instead of jumping.*If Isaac has flight, and is flying above a ravine area, the dash distance will be next to none.*The item can be used to jump over the pillars of light spawned by Isaac (Boss).
ItemRebirth;Humbleing Bundle;203;collectibles_203;map, brown;*Gives one extra pickup (1+1 version) of red hearts, pennies, bombs and keys.*Does not work with soul hearts, black hearts, half red hearts, nickels, dimes, or drops from The Book Of Sin.;
ItemRebirth;Infamy;242;collectibles_242;mask, face, purple;Adds a high chance to block projectiles hitting Isaac from any direction. When effectively blocking a projectile, Isaac will briefly flash blue.;
ItemRebirth;Infestation;148;collectibles_148;worm, brown;*1-3 Blue Flies randomly spawn whenever Isaac takes damage.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;
ItemRebirth;Infestation 2;234;collectibles_234;spider, brown;Grants an infestation shot that spawns an allied blue spider from each enemy killed.;*Enemies do not spawn spiders when killed by anything other than Isaac (environmental hazards, charmed enemies, etc).*Enemies do not spawn spiders when killed by blue spiders.*Blue flies can also spawn spiders.*Enemies killed by familiars will spawn blue spiders.
ItemRebirth;The Inner Eye;2;collectibles_002;eye, white;*Grants a triple shot*Tears down: (Delay * 2.1) + 3;
ItemRebirth;Ipecac;149;collectibles_149;bottle, brown;*Replaces tears with explosive and poisoning projectiles fired in an arc.*Tears down - (Delay * 2) + 10*+13 Shot Height;
ItemRebirth;Iron Bar;201;collectibles_201;metal bar silver;*+0.3 Damage.*Adds a chance to shoot concussive tears, causing enemies to walk around randomly.;Concussive tear effect depends on the Luck stat, and goes up to 100% at 27 Luck.
ItemRebirth;Isaac's Heart;276;collectibles_276;heart red;*Isaac's body becomes immune to all damage.*A heart familiar appears and closely follows Isaac. If the heart is hurt, Isaac is hurt.*Enemies now target the heart instead of Isaac. Eyes and other similar enemies, however, will still target Isaac.;*Items that activate on contact with enemies retain their ability, allowing Isaac to use them without suffering collision damage.*Isaac can use Blood Banks and Demon Beggars without taking damage.*With Afterbirth, Demon Beggars and Blood Banks deal damage to Isaac*Curse Rooms don't deal damage when entered.*Even if Isaac himself can't fly, the heart will hover over ground hazards, making Isaac immune to all damaging creep and spikes. However, Sacrifice Room's spikes can still damage it.*Picking up a non-orbital familiar will cause either Isaac's Heart or the other familiar to be layered over the other's sprite. This is due to the heart not taking up the spot that the other familiar follows in.*Enemy Brimstone shots (such as from The Bloat) will not deal any damage to the heart.*Additional players gain the immunity effect without spawning additional hearts.
ItemRebirth;Isaac's Tears;323;collectibles_323;glass water blue;*Each tear shot by the player increases item charge by one.*Upon use, fires 8 tears around the player, which retain the damage, shot speed, and most special effects of the player's tears.;Tammy's Head has an effect similar to Isaac's Tears, but Isaac's Tears will not benefit from tear-replacing items like Brimstone.
ItemRebirth;IV Bag;135;collectibles_135;blood bag;When activated, causes Isaac to lose half a heart (or a full heart in The Womb and beyond) while spawning 1-3 coins;*This effect is counted as inflicted damage for the purpose of items that spawn pickups upon damage, such as Gimpy or Fanny Pack, but does not count against the chance of encountering the Devil Room.*Invulnerability will not prevent Isaac from losing hearts.
ItemRebirth;The Jar;290;collectibles_290;brown jar;Isaac can store up to 4 extra red hearts in the jar if there are no remaining empty Heart *Containers.*When used, all hearts in the jar are dropped on the floor, rather than directly consuming them.;*Soul Hearts and Black Hearts cannot be stored.*If used in a Black Heart or Eternal Heart-containing Super Secret Room it will spawn those types of hearts instead.*If a whole red heart is picked up and Isaac only heals half a heart container, the other half is placed in the jar indicated by the jar number increasing by one. Despite the jar indicating that it picked up a whole red heart in this fashion, it will only drop half a red heart on use.*If a half red heart is picked up and placed in the jar the total heart number for the jar increases as though it collected a whole heart. Upon use however, the half heart will not drop. If two half hearts are picked up and placed in the jar, they will count as one whole red heart and drop upon activation as normal.
ItemRebirth;Jesus Juice;197;collectibles_197;juice purple bag;*+0.5 Damage up.*+0.25 Range up.*+0.5 Tear height.;
ItemRebirth;Judas' Shadow;311;collectibles_311;shadow black;*Grants an extra life.*Upon death, Isaac resurrects as Black Judas.*Black Judas has a damage multiplier of 2.00 and a base speed of 1.1.;*Beating bosses as Black Judas will give Completion Marks for Judas and will unlock the associated items and achievements.*Because Black Judas counts as a unique character, this means that all character-specific qualities are replaced with those of Black Judas's upon death. For example, if the Blue Baby dies and respawns as Black Judas, he will be able to pick up red heart containers. If Azazel dies and respawns as Black Judas, his short ranged Brimstone will be removed, along with his flying abilities.
ItemRebirth;Juicy Sack;266;collectibles_266;silver;*A familiar that follows behind Isaac. It drips a trail of creep that slows enemies.*Spawns 1-2 Blue Spiders after every room.;
ItemRebirth;Kamikaze;40;collectibles_040;red, bomb;Upon activation, causes an explosion in the same place as Isaac, damaging him and all monsters caught in the blast.;
ItemRebirth;Key Piece #1;238;collectibles_238;key gold;Combined with Key Piece 2, unlocks the golden gate in the starting room of The Chest and Dark Room to fight Mega Satan.;*The Golden Gate can alternatively be opened using Dad's Key.*This item, along with Key Piece 2, can be rerolled into any item from the Angel Room pool.*Unlocking the Golden Gate with the combined key pieces and then going to the I AM ERROR room will waste the key, which will not respawn.
ItemRebirth;Key Piece #2;239;collectibles_239;key gold;Combined with Key Piece 1, unlocks the golden gate in the starting room of The Chest and Dark Room to fight Mega Satan.;*The Golden Gate can alternatively be opened using Dad's Key.*This item, along with Key Piece 1, can be rerolled into any item from the Angel Room pool.*Unlocking the Golden Gate with the combined key pieces and then going to the I AM ERROR room will waste the key, which will not respawn.
ItemRebirth;The Ladder;60;collectibles_060;wood ladder;Allows Isaac to walk across gaps one square across by automatically placing a ladder between the two walkable sections. Enemies can not walk over the ladder.;
ItemRebirth;Lazarus' Rags;332;collectibles_332;rag blood;Grants an extra life and upon death respawns the character as Revived Lazarus. Unlike other items that cause the player to respawn, this item revives the player on the spot, as opposed to the previous room.;
ItemRebirth;Leo;302;collectibles_302;blue;Isaac can break obstacles by walking into them.;*Walking into bomb rocks will cause them to explode.*Mushrooms may hurt Isaac with a poison cloud if walked into.*Polyps may hurt Isaac with blood shots or red creep if walked into.*Flight does not prevent the effect from occurring.*Holes in the ground can be filled if Isaac walks into adjacent rocks from the right direction, similar to bombs.*TNT Barrels will not be destroyed or explode on contact.
ItemRebirth;Latch Key;343;collectibles_343;key;*+1 Luck*Gain 1 soul heart*Spawns 2 keys.;There is a golden key gets spawned instead of regular keys.
ItemRebirth;Leech;270;collectibles_270;grey worm;*Upon pickup, spawns a crawling Leech that follows Isaac. If an enemy comes near, the Leech will attack and chase it, dealing 1.5 damage per tick. If an enemy is killed by the Leech, Isaac will be healed by half a heart.*The Leech's healing effect does not affect characters that do not have red heart containers.;Enemies that turn into flesh piles and regenerate when killed such as Globins and some dark red champions regenerate quicker than the Leech can kill them. Isaac will gain half a heart each time the enemies collapse, granting an easy way to regenerate all red hearts. This can also open up many powerful synergies with any item that provides a benefit or resource when Isaac takes damage
ItemRebirth;Lemon Mishap;56;collectibles_056;yellow lemon;When used, a tiny pool of 'Lemonade' will drop on the floor, damaging any enemies that walk over it.*This effect is especially useful against any kind of stationary or slow enemy;Any particular item that impedes enemy movement - Increses the duration enemies are exposed to the damaging puddle
ItemRebirth;Libra;304;collectibles_304;blue;*Gives Isaac 6 Coins, 6 Bombs and 6 Keys.*Continually balances Isaac's primary Attributes - Damage, Range, Tears, and Speed (has no effect on Luck or Shot Speed). This effect is NOT one time only - Libra will rebalance Isaac's attributes whenever they are changed by an item, effect, etc. including temporary effects such as the The Book Of Belial.;The balancing formula for Libra values Damage a little lower than other stats. This means a standard Damage Up effect will actually grant less damage than a standard Speed Up or Range up effect will.*Stats are capped before Libra's balancing is applied. This means that if speed is maxed out (2.0) already, a Speed Up effect will not increase any stats at all.
ItemRebirth;Lil' Brimstone;275;collectibles_275;black;*Spawns a familiar that fires a mini-Brimstone beam. It needs to be charged up it will not fire if Isaac is shooting a steady stream of tears.*Unlike Brimstone, Lil' Brimstone can start charging up a beam while still firing the previous one.;
ItemRebirth;Lil' Haunt;277;collectibles_277;white ghost;A familiar that damages enemies by chasing them as well as inducing the fear effect.;
ItemRebirth;Little Baggy;252;collectibles_252;glass bowl;*Allows Isaac to carry two pills. Tap the Drop button to cycle through the two pills.*Spawns a random pill.*Changes all Tarot card and rune drops into pills.*Any Tarot card or rune held when picking this item up will change into a pill.;
ItemRebirth;Little C.H.A.D.;96;collectibles_096;red worm;Drops half a red heart every two rooms.;Dark Bum - Dark Bum will convert Little C.H.A.D's hearts into soul hearts.
ItemRebirth;Little Chubby;88;collectibles_088;brown worm;*Adds a familiar that follows Isaac.*Little Chubby will charge across the room, following Isaac's first tear, until it hits a wall and then returns to Isaac to recharge.*Little Chubby deals touch damage to any enemies in its path.*The familiars attack is affected by momentum, just as tears are. Thus, it can be shot diagonally.;For Little Chubby to recharge, it must first get back to Isaac. Therefore, running away from Little Chubby after firing it will extend the time required to recharge it.
ItemRebirth;Little Gish;99;collectibles_099;bomb;Spawns a familiar that follows Isaac around and fires slowing tears.;
ItemRebirth;Little Steven;100;collectibles_100;black kid;pawns a familiar that follows Isaac around and fires homing tears.;Little Steven may be dropped by any Boss, the reason for this is currently unknown as in the original The Binding of Isaac there was an 80% chance that Little Steven could be dropped just by Steven after defeating him.
ItemRebirth;Loki's Horns;87;collectibles_087;horn;*Chance to shoot tears four ways like the boss Lokii can.*Chance depends on the Luck stat, and goes up to 100% at 7 Luck.;
ItemRebirth;Lord of the Pit;82;collectibles_082;cross red;*Grants Isaac Flight.*+0.3 Speed Up (not applied until the next time Isaac's speed stat is updated).;Leo and Thunder Thighs acts as a plausible synergy / anti-synergy as you will no longer be able to hide on top of rocks.
ItemRebirth;Lost Contact;213;collectibles_213;contact silver;*Gives Isaac's tears a shield surrounding them, allowing the player to block enemy shots.*Isaac's shots are destroyed upon contact with an enemy's shot.*-16% Shot Speed.;
ItemRebirth;Lucky Foot;46;collectibles_046;foot;*+1 Luck.*Increases chances of winning at Shell Game Beggar and Fortune Teller (independent of luck stat).;
ItemRebirth;The Ludovico Technique;329;collectibles_329;eye;Instead of firing tears, Isaac controls one floating tear that hovers over obstacles. This tear deals constant damage when held in place over an enemy.;*Ludovico tear movement speed is determined by the Shot Speed stat.*Ludovico tear hits per second are determined by the Tears stat.*When Death uses his The Hourglass attack, the tear is slow to respond but then moves so quickly that it is nearly impossible to use effectively.
ItemRebirth;A Lump of Coal;132;collectibles_132;coal black;Tears gain a flat damage bonus based on how far they travel. This starts at +0 and increases to about +6 at a standard room's width (but can go higher).;
ItemRebirth;Lunch;22;collectibles_022;food brown grey;Grants one red heart container.;
ItemRebirth;Maggy's Bow;312;collectibles_312;pink, bow;*Adds one heart container.*Red Hearts heal double their value. A red half-heart replenishes one red heart of Isaac's health, a red full-heart replenishes two red hearts of Isaac's health, and a 1+1 free heart replenishes four red hearts of Isaac's health.;
ItemRebirth;Magic 8 Ball;194;collectibles_194;8 ball billard;*+16% Shot speed.*Drops a random tarot card on the ground nearby.;
ItemRebirth;Magic Fingers;295;collectibles_295;box;Uses 1 coin to deal a screen-wide damaging attack similar to The Necronomicon that scales based on player damage. Unlike the Necronomicon, however, it has no recharge and can be used repeatedly in the same room.;
ItemRebirth;Magic Mushroom;12;collectibles_012;mushroom;*+1 Health Up.*+0.3 Damage Up.*x1.5 Damage Multiplier.*+5.25 Range Up.*+0.3 Speed Up.*+0.5 Tear Height.*Isaac grows in size.*Fully restores all red heart containers.;*The Magic Mushroom does not give a tears up despite its quote saying 'All Stats Up'.*The x1.5 damage multiplier does not stack with the x1.5 damage multiplier from Cricket's Head or from the combination of The Book Of Belial and Blood Of The Martyr. However, it will stack with any multipliers not listed here.*Despite Isaac's increased size, the size of his hitbox remains the same
ItemRebirth;Magic Scab;253;collectibles_253;scab red;*Grants Isaac a full heart container.*Increases Luck.;
ItemRebirth;Magneto;53;collectibles_053;horseshoe red;*Drops ( e.g. hearts, coins, keys, bombs, etc. ) are attracted to Isaac.*The attraction enables the item to pass/fly over pits or rocks, but not through Key Blocks.*A few enemies (like the Horf) are drawn toward Isaac as well.;
ItemRebirth;The Mark;79;collectibles_079;red;*+1 Damage up.*+0.2 Speed up.*Grants one soul heart.;
ItemRebirth;Match Book;344;collectibles_344;book, grey;*Spawns two or three bomb pickups near Isaac.*Grants Isaac one Black Heart.;*It's advised to pay attention when picking up this item, as it may spawn troll bombs.*Presumably the bomb equivalent to Latch Key.
ItemRebirth;MEAT!;193;collectibles_193;meat, brown, bone;*Grants Isaac one full heart container.*+0.3 Damage up.;
ItemRebirth;Midas Touch;202;collectibles_202;gold bar;*Upon contact with enemies, deals damage equal to the number of coins Isaac has.*Freezes and turns enemies into gold upon contact with Isaac.*Enemies killed while in this state will drop 1-4 pennies.;*When used against Mom, Mom's foot can usually be hit and will be turned into gold without the player taking damage.*When used against Satan, Satan's foot will be turned into gold and receive a lot of damage.*When used against Ultra Greed, the battle is immediately won.
ItemRebirth;The Mind;333;collectibles_333;yellow;Grants the combined effects of the Blue Map, Treasure Map and The Compass, revealing the floor layout and all special rooms, including Secret Rooms and Super Secret Rooms.;
ItemRebirth;Mini Mush;71;collectibles_071;mushroom blue;*+0.3 Speed.*-4.25 Range.*+1.5 Shot Height.*Decreases Isaac's size, making him less likely to be hit.;Even if the range stat is decreased, the effective range is slightly increased due to the changes to the hidden shot height attribute.
ItemRebirth;Missing No.;258;collectibles_258;quadrat yellow blue;*Randomizes passive items and stats on pickup and at the start of every floor.*Does not affect trinkets, cards, pills, or active items.*Does not remove transformations.*Chance of crashing game upon pickup.;
ItemRebirth;Missing Page 2;262;collectibles_262;paper;*Adds 1 black heart.*Activates The Necronomicon effect upon taking damage if the total sum of Isaac's red hearts, soul hearts, and black hearts is under one and half hearts.;
ItemRebirth;Mitre;173;collectibles_173;head cross;Grants a chance(around 50%) of converting any red hearts pickups into soul hearts instead.;
ItemRebirth;Mom's Bottle of Pills;102;collectibles_102;bottle pills;*Will spawn a random pill upon activation.*Using this item with the Starter Deck will cause the Mom's Bottle of Pills to dispense tarot cards instead.;
ItemRebirth;Mom's Bra;39;collectibles_039;bra ;Upon use, it petrifies all enemies in the current room for approximately 4 seconds.;Isaac keeps wearing the bra until he leaves the room, even after the petrifying effect has worn off.
ItemRebirth;Mom's Coin Purse;195;collectibles_195;purse bag brown;Upon pickup, four random pills will spawn around Isaac.;*PHD/Virgo: Ensures that Isaac won't get any negative pill effects, which improves the Coin Purse's overall usability.*Starter Deck: Drops four cards/runes rather than pills.
ItemRebirth;Mom's Contacts;110;collectibles_110;eye red;*Adds a chance to shoot petrifying tears, which stop enemies in place and prevent them from moving or attacking.*+0.25 Range up (not applied until the next time Isaac's range stat is updated).*+0.5 Tear Height (not applied until the next time Isaac's tear height is updated).;*The petrifying effect depends on the Luck stat, and goes up to around 50% with more than 10 Luck.*Petrifying a Heart also freezes the Mask bound to it.*Petrifying an enemy with a weak zone (Scolex or Carrion Queen) will make the enemy take damage anywhere while it is petrified, making combat significantly easier.
ItemRebirth;Mom's Eye;55;collectibles_055;eye white;*Gives Isaac a chance to shoot a tear out of an eye on the back of his head.*The chance to shoot a second tear depends on the Luck stat, and goes up to 100% at 2 Luck.;
ItemRebirth;Mom's Eyeshadow;200;collectibles_200;eye shadow black;Gives a chance to shoot charming tears, causing enemies to temporarily fight on Isaac's side.;The charming effect depends on the Luck stat, and goes up to 100% at 27 Luck.
ItemRebirth;Mom's Heels;30;collectibles_030;red shoe;*+5.25 Range.*+0.5 Shot Height.;
ItemRebirth;Mom's Key;199;collectibles_199;key gold;*Gives Isaac two keys.*Generates additional pickups from chests.;
ItemRebirth;Mom's Knife;114;collectibles_114;knife silver brown;*Isaac's tears are replaced by a knife that pierces enemies and can travel through obstacles. Holding down the fire button increases its range and power.*The knife can hurt enemies while Isaac is holding it;
ItemRebirth;Mom's Lipstick;31;collectibles_031;red;*+5.25 Range.*+0.5 Shot Height.;
ItemRebirth;Mom's Pad:;41;collectibles_041;pad silver;Upon use, inflicts fear on all enemies in the room for 6 seconds.;
ItemRebirth;Mom's Perfume;228;collectibles_228;bottle yellow;*Adds a chance to shoot fear tears, causing enemies to run away from Isaac.*-1 Tear delay. As this tears upgrade directly affects tear delay, it allows Isaac's tear rate to go over the maximum rate of fire.;The Fear effect chance depends on the Luck stat, and goes up to 100% at 85 Luck.
ItemRebirth;Mom's Purse;139;collectibles_139;purple purse;Allows two different trinkets to be carried at once.;The Tick - Lets you gain the benefits of the item without losing your only trinket slot.
ItemRebirth;Mom's Wig;217;collectibles_217;wig;*Allows Isaac to spawn friendly spiders when firing tears.*Heals Isaac for 1 red heart upon pickup;*The spiders are spawned when Isaac is shooting, and up to 5 spiders can be spawned in the same time. More spiders can be spawned if the previous ones died.*The spider spawning chance depends on the Luck stat, and is really low at base stat : One spider is usually spawned between 30 seconds and 1 minute of constant shooting.*However, this chance goes up to 100% with 10 Luck.
ItemRebirth;Mom's Underwear;29;collectibles_029;purple ;*+5.25 Range.*+0.5 Shot Height.;
ItemRebirth;Money = Power;109;collectibles_109;red dolar;Adds 0.04 points of damage for every coin Isaac has.;The damage caps at +3.96 Damage at 99 coins.
ItemRebirth;Mongo Baby;322;collectibles_322;baby mask;*When picked up, summons a Familiar that copies the tears of Isaac's other familiars.*Mongo Baby's tears cycle between the tears of Isaac's other familiars.*If no familiars are present, Mongo Baby will fire normal tears.*Fires at twice the normal rate of a familiar.;*Familiars that Mongo Baby can copy include:*Brother Bobby*Demon Baby*Ghost Baby*Harlequin Baby*Little Gish*Little Steven*Rainbow Baby*Robo-Baby*Rotten Baby*Sister Maggy*Mongo Baby will not copy the tear effects of trinket familiars (Isaac's Head and ???'s Soul).*Mongo Baby will not copy the tear effects of the level 2 Cube of Meat or Ball of Bandages.*When copying the effects of Demon Baby, Mongo Baby will not fire at twice the normal speed.*If Isaac has Demon Baby alongside other familiars, Mongo Baby's behavior switches between the two. When Isaac is firing tears, Mongo Baby fires alongside him with a reduced fire rate. When Isaac is not firing tears, Mongo Baby copies Demon Baby's effect and automatically fires at nearby enemies.
ItemRebirth;Monster Manual;123;collectibles_123;book landscape;Summons a random familiar for the duration of the current room.;It can spawn familiars not yet unlocked
ItemRebirth;Monstro's Lung;229;collectibles_229;lung ;Grants a charged shot that fires multiple tears in the same fashion as Monstro.;
ItemRebirth;Monstro's Tooth;86;collectibles_086;tooth blood;Summons Monstro to drop from above, landing on enemies, dealing 120 damage to them and destroying obstacles like rocks.;*This item can damage/kill Isaac if summoned in a room without enemies.*This item has no effect if Monstro is in the room you use the item in.
ItemRebirth;Mr. Boom;37;collectibles_037;bomb;Upon activation, Mr. Boom will summon a large bomb, similar to ones produced by Mr. Mega. It has greater damage and blast radius than a default bomb.;
ItemRebirth;Mr. Mega;106;collectibles_106;bomb;*Gives 5 bombs.*Gives all of Isaac's bombs increased damage and blast radius.*Mr. Mega bombs deal 110 damage, while normal bombs deal 50 damage.*When bombs explode, the screen will shake.;*It is possible to acquire this item more than once by killing multiple Super Wraths on later floors however, the bomb damage increase doesn't stack.*Since Mom's stomp attack counts as an explosion, it is possible for this item to unlock if the foot is directed into a tinted rock on the last required tinted rock.
ItemRebirth;The Mulligan;151;collectibles_151;fly heart;*Grants an infestation shot with a 1/6 chance of spawning allied blue flies when tears hit an enemy.*This item belongs to the Lord of the Flies set. Collecting three items from the set will transform Isaac into Lord of the Flies.;Because the Guppy transformation includes the guaranteed ability to spawn flies on hit, the Mulligan's effect is nullified. This means individual tears cannot spawn more than one fly per hit.
ItemRebirth;Mutant Spider;153;collectibles_153;spider, green;*Grants a quadruple shot*Tears down: (Delay * 2.1) + 3;
